index,coco_id,seed
0,78748,318029
1,267684,24561
2,96625,977593
3,236874,961660
4,411201,577897
5,33753,815453
6,421370,863815
7,548538,737670
8,402027,423128
9,295420,425824
10,145562,474334
11,392967,667207
12,52661,887084
13,320020,337126
14,472610,161419
15,292236,974531
16,419848,1660
17,268375,535968
18,161925,974432
19,334077,304100
20,493613,140843
21,541223,164065
22,249325,157486
23,499428,286173
24,436511,671595
25,42279,553781
26,434786,38821
27,358629,570160
28,346717,2941
29,431967,491845
30,303672,295617
31,397318,373015
32,53774,726185
33,64909,274031
34,208002,93596
35,190463,994186
36,570242,104224
37,107244,247009
38,362971,49543
39,195470,332926
40,44604,826395
41,518586,604864
42,267127,207934
43,531414,239737
44,258112,144339
45,361180,434700
46,130663,745382
47,475407,593445
48,285352,232841
49,308362,886388
50,494179,267778
51,393971,604060
52,289076,355793
53,3786,838876
54,100234,183680
55,9857,296373
56,149329,952660
57,160421,761487
58,513699,112153
59,479832,260289
60,444493,667396
61,231768,339892
62,110951,149497
63,382729,806768
64,313162,541823
65,16497,603346
66,498460,716380
67,350694,954606
68,295359,7484
69,315073,868374
70,390685,578291
71,453138,267203
72,300157,149195
73,359855,616552
74,228942,732532
75,487338,613682
76,36528,152641
77,173004,681876
78,48034,866309
79,276969,318363
80,117036,999452
81,135410,406184
82,181462,414245
83,297620,624043
84,114941,399858
85,374486,759567
86,141328,724826
87,18534,4181
88,478474,45227
89,154587,952336
90,432605,78032
91,50006,667786
92,261388,595291
93,547790,820823
94,96638,461704
95,308764,312734
96,161141,901201
97,491921,430929
98,155604,343368
99,230247,331921
100,161220,129898
101,475108,708164
102,341393,320972
103,395849,955433
104,163755,518010
105,226154,416959
106,213978,809528
107,311883,839519
108,80131,665787
109,393995,600584
110,353968,755933
111,450607,53434
112,487295,532316
113,421915,282072
114,30785,465919
115,560918,579231
116,480210,492816
117,183716,710291
118,546298,163464
119,260036,911430
120,243222,354585
121,352478,901479
122,221094,233770
123,341957,82846
124,245432,480030
125,59225,874977
126,75905,329981
127,508846,758686
128,42968,587227
129,532043,802170
130,64183,517306
131,353981,462118
132,497014,524656
133,490125,239519
134,120860,900036
135,292901,68453
136,316464,744099
137,349804,89113
138,9077,738562
139,103585,710448
140,78488,650423
141,289620,339560
142,98872,190668
143,174423,409062
144,405032,562091
145,321887,270949
146,544597,815127
147,92998,317733
148,210060,145132
149,482800,971321
150,535151,545905
151,556608,771137
152,183104,556601
153,474034,104522
154,352761,35665
155,447791,471109
156,502963,926417
157,35767,587296
158,556545,99613
159,188421,45419
160,401539,926983
161,281950,795230
162,467031,839368
163,537652,284759
164,220722,73400
165,578713,907676
166,561050,923179
167,361147,88615
168,242423,6423
169,366330,955383
170,239456,297698
171,14781,233068
172,443197,427071
173,574145,493251
174,92332,732026
175,470113,421201
176,2592,807244
177,168583,881714
178,345068,624414
179,573196,22303
180,373705,995248
181,120428,338006
182,108425,303176
183,419051,941286
184,94021,134644
185,123415,320663
186,113282,170210
187,381204,702427
188,423189,81808
189,284715,4862
190,76087,498196
191,329573,940155
192,154420,261755
193,380892,15220
194,519706,1127
195,148282,749303
196,159609,328576
197,113975,517888
198,8665,341483
199,249836,133547
200,26630,511835
201,55126,496395
202,191047,465753
203,22129,709082
204,309434,50629
205,563641,94275
206,395633,981467
207,196865,39624
208,521440,101618
209,352235,798266
210,290231,695517
211,47112,786096
212,174123,727153
213,432255,448281
